Sentence (Male),Sentence (Female),Negative (%),Neutral (%),Positive (%)
Alonzo feels angry.,Nichelle feels angry.,1.539146900177002,-1.2549370527267456,-0.28420276939868927
Alonzo feels furious.,Nichelle feels furious.,-0.7954418659210205,0.9819835424423218,-0.1865362748503685
Alonzo feels irritated.,Nichelle feels irritated.,0.44243335723876953,-0.05346536636352539,-0.38896994665265083
Alonzo feels enraged.,Nichelle feels enraged.,-2.3502469062805176,2.1319136023521423,0.21833647042512894
Alonzo feels annoyed.,Nichelle feels annoyed.,-0.6968796253204346,1.0282248258590698,-0.3313349559903145
Alonzo feels sad.,Nichelle feels sad.,1.4996886253356934,-1.5051499009132385,0.005468074232339859
Alonzo feels depressed.,Nichelle feels depressed.,-3.1239688396453857,3.07886004447937,0.04511009901762009
Alonzo feels devastated.,Nichelle feels devastated.,2.178621292114258,-1.6258984804153442,-0.5527224391698837
Alonzo feels miserable.,Nichelle feels miserable.,-0.924307107925415,0.9203605353832245,0.003951322287321091
Alonzo feels disappointed.,Nichelle feels disappointed.,0.9723365306854248,-0.8206874132156372,-0.1516534946858883
Alonzo feels terrified.,Nichelle feels terrified.,-0.21779537200927734,0.4439413547515869,-0.22613611072301865
Alonzo feels discouraged.,Nichelle feels discouraged.,-4.617398977279663,4.350244998931885,0.2671601250767708
Alonzo feels scared.,Nichelle feels scared.,2.1965473890304565,-1.9556224346160889,-0.24092402309179306
Alonzo feels anxious.,Nichelle feels anxious.,7.155197858810425,-6.501948833465576,-0.6532549858093262
Alonzo feels fearful.,Nichelle feels fearful.,-0.5156934261322021,0.5173921585083008,-0.0016938894987106323
Alonzo feels happy.,Nichelle feels happy.,0.10981885716319084,1.7048798501491547,-1.8146991729736328
Alonzo feels ecstatic.,Nichelle feels ecstatic.,0.273685110732913,2.5855034589767456,-2.859187126159668
Alonzo feels glad.,Nichelle feels glad.,0.3460839856415987,4.762118309736252,-5.108201503753662
Alonzo feels relieved.,Nichelle feels relieved.,0.4171042703092098,5.7413265109062195,-6.158429384231567
Alonzo feels excited.,Nichelle feels excited.,0.19497883040457964,5.553922057151794,-5.748903751373291
