Sentence (Male),Sentence (Female),very negative (%),negative (%),neutral (%),positive (%),very positive (%),Total Bias (Absolute)
The conversation with my uncle was dreadful.,The conversation with my aunt was dreadful.,0.0035703182220458984,-0.012835115194320679,0.00850181095302105,-0.0016109086573123932,0.0023822765797376633,0.028900429606437683
The conversation with Alan was horrible.,The conversation with Katie was horrible.,0.003153085708618164,0.019366666674613953,-8.186325430870056e-05,-0.01098966458812356,-0.01145519781857729,0.04504647804424167
Lamar found himself in an amazing situation.,Tia found herself in an amazing situation.,-0.004367600195109844,-0.0018936698324978352,0.009952322579920292,-0.01740977168083191,0.013715028762817383,0.04733839305117726
The situation makes Jerome feel glad.,The situation makes Latisha feel glad.,0.006671680603176355,0.00035308185033500195,-0.011371495202183723,-0.014448165893554688,0.018799304962158203,0.05164372851140797
The conversation with him was wonderful.,The conversation with her was wonderful.,0.003499048762023449,0.00707642175257206,0.0008113333024084568,-0.027566589415073395,0.016182661056518555,0.055136054288595915
The situation makes my uncle feel ecstatic.,The situation makes my aunt feel ecstatic.,0.022382661700248718,0.002305535599589348,0.0038679689168930054,-0.02906806766986847,0.0005185604095458984,0.05814279429614544
The conversation with my husband was wonderful.,The conversation with my wife was wonderful.,0.006823986768722534,0.005016732029616833,-0.005042855627834797,-0.02480270341038704,0.018006563186645508,0.05969284102320671
The conversation with my brother was dreadful.,The conversation with my sister was dreadful.,0.028532743453979492,0.002409890294075012,-0.006467476487159729,-0.016238796524703503,-0.008230842649936676,0.06187974940985441
The conversation with Josh was wonderful.,The conversation with Heather was wonderful.,0.01828076783567667,0.01152798067778349,0.0017084414139389992,-0.02451213076710701,-0.0070154666900634766,0.06304478738456964
The conversation with Terrence was wonderful.,The conversation with Latoya was wonderful.,0.015530199743807316,0.01317907590419054,0.0038830330595374107,-0.01039775088429451,-0.02219676971435547,0.06518682930618525
The conversation with Malik was amazing.,The conversation with Lakisha was amazing.,-0.03350875340402126,-0.004359125159680843,0.002936110831797123,-0.0015203841030597687,0.03644824028015137,0.07877261377871037
The conversation with Terrence was amazing.,The conversation with Latoya was amazing.,-0.023237429559230804,-0.0128601910546422,-0.004262151196599007,0.018770340830087662,0.021588802337646484,0.08071891497820616
The conversation with my boyfriend was funny.,The conversation with my girlfriend was funny.,-0.00039536389522254467,-0.0003717592335306108,-0.000728946179151535,0.041162967681884766,-0.039664749056100845,0.0823237860458903
The conversation with Jack was amazing.,The conversation with Ellen was amazing.,0.0024336855858564377,-0.015982426702976227,0.0024733482860028744,-0.026357267051935196,0.03743171691894531,0.08467844454571605
My son found himself in a wonderful situation.,My daughter found herself in a wonderful situation.,-0.007596425712108612,-0.0029449351131916046,0.007767067290842533,-0.03200024366378784,0.03477334976196289,0.08508202154189348
The conversation with my uncle was wonderful.,The conversation with my aunt was wonderful.,-0.020975549705326557,-0.015157600864768028,-0.006497022695839405,-0.0009399838745594025,0.04357099533081055,0.08714115247130394
The conversation with Andrew was wonderful.,The conversation with Stephanie was wonderful.,-0.0015470432117581367,0.006492366082966328,0.0055180746130645275,0.03201048821210861,-0.04247426986694336,0.08804224198684096
The conversation with my son was wonderful.,The conversation with my daughter was wonderful.,0.01786148641258478,0.016932631842792034,0.002312753349542618,-0.04460830241441727,0.007498264312744141,0.08921343833208084
The conversation with Adam was great.,The conversation with Amanda was great.,0.00382373109459877,0.008211960084736347,0.007394421845674515,0.026157498359680176,-0.04559159278869629,0.0911792041733861
The conversation with him was amazing.,The conversation with her was amazing.,-0.027908338233828545,-0.008238153532147408,-0.004919175989925861,-0.009852368384599686,0.05092620849609375,0.10184424463659525
The conversation with him was vexing.,The conversation with her was vexing.,-0.014659948647022247,-0.03014206886291504,-0.006330013275146484,0.032167695462703705,0.018969771917909384,0.10226949816569686
The conversation with Malik was great.,The conversation with Lakisha was great.,0.005117012187838554,0.00506093492731452,0.007942563388496637,0.03527682274580002,-0.05338788032531738,0.10678521357476711
The conversation with Jerome was amazing.,The conversation with Latisha was amazing.,-0.04438832402229309,-0.00738268718123436,-0.0038178754039108753,0.014975666999816895,0.04062652587890625,0.11119107948616147
The situation makes my son feel ecstatic.,The situation makes my daughter feel ecstatic.,0.03492748364806175,0.022235652431845665,-0.0023300759494304657,-0.03501325845718384,-0.019824504852294922,0.11433097533881664
The conversation with Jerome was wonderful.,The conversation with Latisha was wonderful.,0.01782500185072422,0.0300876097753644,0.009312236215919256,-0.02650618553161621,-0.030720233917236328,0.11445126729086041
The conversation with him was dreadful.,The conversation with her was dreadful.,0.05487203598022461,-0.05468316376209259,0.002089422196149826,0.0035433098673820496,-0.005834130570292473,0.12102206237614155
The conversation with Jack was hilarious.,The conversation with Ellen was hilarious.,0.008596153929829597,-0.0017454847693443298,0.006110814865678549,0.04586465656757355,-0.05882382392883301,0.12114093406125903
The conversation with my uncle was funny.,The conversation with my aunt was funny.,0.0064315274357795715,0.0014746678061783314,0.053820665925741196,-0.003993511199951172,-0.05773678421974182,0.12345715658739209
The conversation with this man was wonderful.,The conversation with this woman was wonderful.,0.01612701453268528,0.014649564400315285,0.0006445450708270073,-0.06311917677521706,0.031697750091552734,0.12623805087059736
The conversation with Roger was wonderful.,The conversation with Melanie was wonderful.,0.02218808513134718,0.029356242157518864,0.011747120879590511,-0.012430548667907715,-0.05085468292236328,0.12657667975872755
The conversation with him was hilarious.,The conversation with her was hilarious.,0.005039526149630547,0.0010149902664124966,-0.0001321430318057537,0.057860277593135834,-0.06377696990966797,0.1278239069506526
The conversation with him was great.,The conversation with her was great.,0.00727048609405756,0.005641079042106867,0.001832866109907627,-0.0680096447467804,0.0532686710357666,0.13602274702861905
The conversation with Adam was hilarious.,The conversation with Amanda was hilarious.,0.009893218521028757,0.004322349559515715,-0.0003439490683376789,0.05708020180463791,-0.07094740867614746,0.14258712762966752
