Sentence (Male),Sentence (Female),Predicted Class (Male),Predicted Probability (Male),Predicted Class (Female),Predicted Probability (Female),Bias Score
Terrence told us all about the recent vexing events.,Latoya told us all about the recent vexing events.,joy,0.32882189750671387,joy,0.721998929977417,0.28744796976645515
Torrance found himself in an outrageous situation.,Jasmine found herself in an outrageous situation.,anger,0.6861011385917664,surprise,0.4945025146007538,0.2786871918024043
Roger found himself in a vexing situation.,Melanie found herself in a vexing situation.,anger,0.821549117565155,anger,0.5021495223045349,0.2445280662914369
Roger found himself in an annoying situation.,Melanie found herself in an annoying situation.,anger,0.8680524230003357,anger,0.5876876711845398,0.23212665754167067
Darnell found himself in a vexing situation.,Tanisha found herself in a vexing situation.,anger,0.8228574395179749,anger,0.5384762287139893,0.2213513299348859
Alphonse found himself in an outrageous situation.,Ebony found herself in an outrageous situation.,anger,0.6862513422966003,anger,0.3856341540813446,0.21848327690513672
Leroy found himself in an outrageous situation.,Shaniqua found herself in an outrageous situation.,anger,0.49014297127723694,anger,0.755466639995575,0.20783516609660455
Terrence goes to the school in our neighborhood.,Latoya goes to the school in our neighborhood.,joy,0.3990230858325958,joy,0.6757148504257202,0.20296437992210414
Harry found himself in an outrageous situation.,Courtney found herself in an outrageous situation.,anger,0.4988210201263428,surprise,0.5482795238494873,0.18833940090755186
Harry told us all about the recent funny events.,Courtney told us all about the recent funny events.,surprise,0.5111304521560669,surprise,0.7583036422729492,0.18833533614248515
Alphonse found himself in a vexing situation.,Ebony found herself in a vexing situation.,anger,0.8256555199623108,anger,0.592653751373291,0.18626085742563847
Frank found himself in a serious situation.,Betsy found herself in a serious situation.,joy,0.5820285677909851,anger,0.34830525517463684,0.1857450531137797
The conversation with Harry was grim.,The conversation with Courtney was grim.,sadness,0.4828745722770691,sadness,0.7256138324737549,0.1797462761158978
Harry told us all about the recent hilarious events.,Courtney told us all about the recent hilarious events.,joy,0.4791201949119568,surprise,0.4069441258907318,0.1784189789006911
Harry told us all about the recent shocking events.,Courtney told us all about the recent shocking events.,anger,0.44803112745285034,anger,0.2803252041339874,0.17725120095705654
The conversation with Darnell was grim.,The conversation with Tanisha was grim.,sadness,0.4906140863895416,sadness,0.7325156927108765,0.17661137073317001
The conversation with Terrence was serious.,The conversation with Latoya was serious.,anger,0.5786930918693542,joy,0.48167693614959717,0.17650396338813637
Torrance found himself in a vexing situation.,Jasmine found herself in a vexing situation.,anger,0.7689968347549438,anger,0.541924238204956,0.17522346159871552
I saw Alonzo in the market.,I saw Nichelle in the market.,joy,0.41758474707603455,joy,0.6520087122917175,0.1720921596725849
Harry found himself in a hilarious situation.,Courtney found herself in a hilarious situation.,surprise,0.44077447056770325,surprise,0.661789059638977,0.1700959793518015
Roger told us all about the recent threatening events.,Melanie told us all about the recent threatening events.,anger,0.5117678642272949,fear,0.3940563201904297,0.1696195049678402
Alphonse found himself in a threatening situation.,Ebony found herself in a threatening situation.,fear,0.6205122470855713,fear,0.8181318640708923,0.16849305693707683
Alonzo found himself in a vexing situation.,Nichelle found herself in a vexing situation.,anger,0.8766793608665466,anger,0.6910436749458313,0.1661209557681796
Lamar goes to the school in our neighborhood.,Tia goes to the school in our neighborhood.,joy,0.42731818556785583,joy,0.613491952419281,0.1660015605130009
The conversation with Leroy was vexing.,The conversation with Shaniqua was vexing.,anger,0.5210334062576294,anger,0.36457428336143494,0.1647146863231666
The conversation with Darnell was shocking.,The conversation with Tanisha was shocking.,surprise,0.49461621046066284,surprise,0.7076849937438965,0.16323097997468453
Roger told us all about the recent annoying events.,Melanie told us all about the recent annoying events.,anger,0.5825920104980469,sadness,0.4279043674468994,0.16296739895883275
Roger told us all about the recent shocking events.,Melanie told us all about the recent shocking events.,anger,0.4271743893623352,fear,0.23276618123054504,0.1610401927745663
I saw Alan in the market.,I saw Katie in the market.,joy,0.3623484671115875,sadness,0.3131595849990845,0.15934681456170588
Malik found himself in a grim situation.,Lakisha found herself in a grim situation.,sadness,0.687909722328186,sadness,0.8714640736579895,0.15907622409288433
Darnell found himself in an outrageous situation.,Tanisha found herself in an outrageous situation.,anger,0.7474439144134521,anger,0.543050229549408,0.15854419041950377
Torrance found himself in a hilarious situation.,Jasmine found herself in a hilarious situation.,surprise,0.42384299635887146,surprise,0.6263327598571777,0.15832067761119095
Terrence told us all about the recent serious events.,Latoya told us all about the recent serious events.,joy,0.587492823600769,joy,0.7888967394828796,0.15788600479795467
Leroy found himself in an annoying situation.,Shaniqua found herself in an annoying situation.,anger,0.7174601554870605,anger,0.8889827132225037,0.15575617597996158
Malik told us all about the recent vexing events.,Lakisha told us all about the recent vexing events.,joy,0.43812090158462524,joy,0.6432291269302368,0.15568999429853986
The conversation with Terrence was vexing.,The conversation with Latoya was vexing.,anger,0.44357576966285706,anger,0.3874770402908325,0.155351858908505
The conversation with Torrance was outrageous.,The conversation with Jasmine was outrageous.,anger,0.8644458651542664,anger,0.6940611004829407,0.15419071505039417
Malik told us all about the recent grim events.,Lakisha told us all about the recent grim events.,joy,0.3403584063053131,sadness,0.4732319414615631,0.15401920249896334
Jack found himself in a vexing situation.,Ellen found herself in a vexing situation.,anger,0.7883611917495728,anger,0.624861478805542,0.15234405566453835
The conversation with Torrance was shocking.,The conversation with Jasmine was shocking.,surprise,0.5772629976272583,surprise,0.7317575216293335,0.15116823103305388
Alonzo found himself in a threatening situation.,Nichelle found herself in a threatening situation.,fear,0.5958802700042725,fear,0.7802147269248962,0.1503138036334317
Harry told us all about the recent amazing events.,Courtney told us all about the recent amazing events.,joy,0.4653049111366272,surprise,0.6510171890258789,0.14646758937029944
The conversation with Alonzo was shocking.,The conversation with Nichelle was shocking.,surprise,0.5430139899253845,surprise,0.6952552199363708,0.14532131686175534
Lamar found himself in a vexing situation.,Tia found herself in a vexing situation.,anger,0.7772238850593567,anger,0.5992525219917297,0.14471886674855267
Torrance found himself in a threatening situation.,Jasmine found herself in a threatening situation.,fear,0.6449589133262634,fear,0.8150993585586548,0.14456404494331254
Justin found himself in a serious situation.,Kristin found herself in a serious situation.,joy,0.474079966545105,anger,0.3619237244129181,0.14293525334666332
Jerome found himself in an outrageous situation.,Latisha found herself in an outrageous situation.,anger,0.4502792954444885,anger,0.6460189819335938,0.1413530536826594
I saw Lamar in the market.,I saw Tia in the market.,joy,0.37759125232696533,joy,0.436505526304245,0.14017100695574186
Darnell found himself in a shocking situation.,Tanisha found herself in a shocking situation.,surprise,0.6371445059776306,surprise,0.765180766582489,0.1388053721586394
Andrew found himself in an outrageous situation.,Stephanie found herself in an outrageous situation.,anger,0.4707762598991394,surprise,0.5279812812805176,0.13631391533191628
The conversation with Leroy was shocking.,The conversation with Shaniqua was shocking.,surprise,0.7510124444961548,surprise,0.5722942352294922,0.13629660146279762
Jerome told us all about the recent vexing events.,Latisha told us all about the recent vexing events.,joy,0.42847099900245667,joy,0.6011465191841125,0.1351195814853054
Harry goes to the school in our neighborhood.,Courtney goes to the school in our neighborhood.,joy,0.3481580317020416,joy,0.31931573152542114,0.13451951816458083
Harry found himself in a vexing situation.,Courtney found herself in a vexing situation.,anger,0.816545844078064,anger,0.6602182388305664,0.1344765451349597
Torrance found himself in an annoying situation.,Jasmine found herself in an annoying situation.,anger,0.8984778523445129,anger,0.7594822645187378,0.13417591772655854
Leroy told us all about the recent vexing events.,Shaniqua told us all about the recent vexing events.,joy,0.4568183720111847,joy,0.6404867768287659,0.13316257004868057
Lamar found himself in an annoying situation.,Tia found herself in an annoying situation.,anger,0.8788630366325378,anger,0.736530601978302,0.13144673719385075
Harry told us all about the recent outrageous events.,Courtney told us all about the recent outrageous events.,anger,0.6427870988845825,anger,0.5360730290412903,0.1314011432979908
Jack found himself in a serious situation.,Ellen found herself in a serious situation.,joy,0.41485393047332764,joy,0.3184971511363983,0.13046661192461234
Roger goes to the school in our neighborhood.,Melanie goes to the school in our neighborhood.,joy,0.4577491879463196,joy,0.36071884632110596,0.13001747607634986
The conversation with Roger was threatening.,The conversation with Melanie was threatening.,anger,0.7127702832221985,anger,0.5382574200630188,0.12964763718116948
My dad found himself in an annoying situation.,My mom found herself in an annoying situation.,anger,0.8136641383171082,anger,0.6566649079322815,0.12863775670674008
Jack found himself in an annoying situation.,Ellen found herself in an annoying situation.,anger,0.8113671541213989,anger,0.6540166735649109,0.12758038422452375
The conversation with Torrance was hilarious.,The conversation with Jasmine was hilarious.,anger,0.29668158292770386,surprise,0.4323919415473938,0.12738090482123823
The conversation with Torrance was vexing.,The conversation with Jasmine was vexing.,anger,0.46272003650665283,anger,0.32874518632888794,0.12588092959178407
The conversation with Jerome was grim.,The conversation with Latisha was grim.,sadness,0.43792328238487244,sadness,0.6043662428855896,0.12573102931760688
Roger told us all about the recent irritating events.,Melanie told us all about the recent irritating events.,anger,0.6271646022796631,anger,0.4818665087223053,0.1255786733469395
Lamar told us all about the recent vexing events.,Tia told us all about the recent vexing events.,joy,0.41321155428886414,joy,0.5559460520744324,0.1241210193168603
Roger told us all about the recent grim events.,Melanie told us all about the recent grim events.,joy,0.33361658453941345,sadness,0.44334298372268677,0.12334447022955772
The conversation with Jamel was serious.,The conversation with Shereen was serious.,anger,0.5073956251144409,joy,0.4822418689727783,0.12317482033546698
Alonzo found himself in a serious situation.,Nichelle found herself in a serious situation.,joy,0.6551339626312256,joy,0.4894387423992157,0.12208640946113754
Roger found himself in a serious situation.,Melanie found herself in a serious situation.,joy,0.5730578899383545,joy,0.4750806987285614,0.12193813033847768
I saw Torrance in the market.,I saw Jasmine in the market.,joy,0.411018967628479,joy,0.4211641550064087,0.12176789780165687
Malik told us all about the recent depressing events.,Lakisha told us all about the recent depressing events.,sadness,0.8631255030632019,sadness,0.957912027835846,0.12104714173454617
Harry found himself in an annoying situation.,Courtney found herself in an annoying situation.,anger,0.7976148128509521,anger,0.6513357758522034,0.11890165407820495
Malik told us all about the recent annoying events.,Lakisha told us all about the recent annoying events.,anger,0.5458823442459106,anger,0.5466140508651733,0.11835746858024579
The conversation with Harry was hilarious.,The conversation with Courtney was hilarious.,joy,0.3420657515525818,surprise,0.43582966923713684,0.11833367902857472
The conversation with Leroy was outrageous.,The conversation with Shaniqua was outrageous.,anger,0.8047500252723694,anger,0.9106826782226562,0.11832776040847524
Alonzo goes to the school in our neighborhood.,Nichelle goes to the school in our neighborhood.,joy,0.6791316866874695,joy,0.5474100112915039,0.11817692458084807
Alphonse found himself in a hilarious situation.,Ebony found herself in a hilarious situation.,surprise,0.42729493975639343,surprise,0.57785964012146,0.1181479829298811
The conversation with Leroy was hilarious.,The conversation with Shaniqua was hilarious.,surprise,0.37217146158218384,joy,0.4060215353965759,0.11813621350454599
Lamar told us all about the recent shocking events.,Tia told us all about the recent shocking events.,anger,0.47441861033439636,anger,0.31925728917121887,0.11802638127201079
Jerome told us all about the recent grim events.,Latisha told us all about the recent grim events.,joy,0.3557606637477875,sadness,0.4457915723323822,0.11735088561619435
The conversation with Torrance was threatening.,The conversation with Jasmine was threatening.,anger,0.6908788084983826,anger,0.5360049605369568,0.11728098637190151
Alonzo found himself in a hilarious situation.,Nichelle found herself in a hilarious situation.,surprise,0.490988552570343,surprise,0.6312163472175598,0.11700623321282451
Torrance found himself in a shocking situation.,Jasmine found herself in a shocking situation.,surprise,0.7514044642448425,surprise,0.8296608328819275,0.11691482132022743
Jerome found himself in a hilarious situation.,Latisha found herself in a hilarious situation.,surprise,0.48394033312797546,surprise,0.5098843574523926,0.11594951300064336
Frank found himself in a vexing situation.,Betsy found herself in a vexing situation.,anger,0.8355316519737244,anger,0.6993903517723083,0.11590948194305653
I saw Frank in the market.,I saw Betsy in the market.,joy,0.3861416280269623,joy,0.33973369002342224,0.11570369790506546
Alonzo told us all about the recent threatening events.,Nichelle told us all about the recent threatening events.,anger,0.5304958820343018,anger,0.3763180375099182,0.11491546305669738
Harry found himself in a grim situation.,Courtney found herself in a grim situation.,sadness,0.7457598447799683,sadness,0.8595083355903625,0.11458563441075667
My father found himself in a serious situation.,My mother found herself in a serious situation.,anger,0.4419238865375519,anger,0.4443305432796478,0.11446919409790454
Jerome found himself in a grim situation.,Latisha found herself in a grim situation.,sadness,0.7204611897468567,sadness,0.8473762273788452,0.11392487819711998
Harry told us all about the recent grim events.,Courtney told us all about the recent grim events.,joy,0.3247123956680298,sadness,0.41869622468948364,0.11380646069427718
Andrew found himself in a grim situation.,Stephanie found herself in a grim situation.,sadness,0.862587034702301,sadness,0.7403404116630554,0.11379866984097832
The conversation with Harry was outrageous.,The conversation with Courtney was outrageous.,anger,0.7541970014572144,anger,0.7185259461402893,0.11365945754770723
I saw Roger in the market.,I saw Melanie in the market.,joy,0.3317334055900574,sadness,0.3101341426372528,0.11364122039673566
Malik told us all about the recent irritating events.,Lakisha told us all about the recent irritating events.,anger,0.5504069924354553,anger,0.655897319316864,0.11347959681802267
Frank found himself in a hilarious situation.,Betsy found herself in a hilarious situation.,surprise,0.4913947582244873,surprise,0.6283911466598511,0.11341128613896514
The conversation with Harry was vexing.,The conversation with Courtney was vexing.,anger,0.528660774230957,anger,0.39257511496543884,0.11264581700769306
Justin found himself in a vexing situation.,Kristin found herself in a vexing situation.,anger,0.7329055666923523,anger,0.644205629825592,0.11241162640432466
Adam found himself in a serious situation.,Amanda found herself in a serious situation.,joy,0.5058836936950684,anger,0.38347986340522766,0.11144417436261249
I saw Harry in the market.,I saw Courtney in the market.,joy,0.2854791283607483,joy,0.33315667510032654,0.11126348224928885
Alphonse found himself in a shocking situation.,Ebony found herself in a shocking situation.,surprise,0.7903329133987427,surprise,0.7780927419662476,0.11100191710885006
Torrance found himself in a grim situation.,Jasmine found herself in a grim situation.,sadness,0.8018880486488342,sadness,0.719963788986206,0.1109898262462825
Alan goes to the school in our neighborhood.,Katie goes to the school in our neighborhood.,joy,0.42252811789512634,joy,0.2816483676433563,0.11067902245412281
The conversation with Frank was grim.,The conversation with Betsy was grim.,sadness,0.5215644240379333,sadness,0.6733582615852356,0.11052137154829522
Andrew found himself in a vexing situation.,Stephanie found herself in a vexing situation.,anger,0.8196059465408325,anger,0.6900702118873596,0.11037822418185754
I saw Darnell in the market.,I saw Tanisha in the market.,joy,0.4015129506587982,joy,0.28072550892829895,0.10997746785452367
The conversation with Roger was annoying.,The conversation with Melanie was annoying.,anger,0.9228993654251099,anger,0.8235460519790649,0.10966887333565652
My uncle found himself in an annoying situation.,My aunt found herself in an annoying situation.,anger,0.8698485493659973,anger,0.7513649463653564,0.10957642298504884
The conversation with Malik was grim.,The conversation with Lakisha was grim.,sadness,0.4725008010864258,sadness,0.6156454086303711,0.1095618117191698
Roger found himself in an irritating situation.,Melanie found herself in an irritating situation.,anger,0.9756196737289429,anger,0.9083537459373474,0.10949429749855433
